name,Data,Distancia_km,Distancia_Formatada,Duracao_min,Pace_Formatado,Pace_Segundos_por_km,average_speed,total_elevation_gain,moving_time
Morning Run,2023-12-31,3.3221999999999996,3.32 km,19.233333333333334,05:47,347.3601830112576,2.879,39.5,1154
Morning Run,2023-12-31,16.9815,16.98 km,26.833333333333332,01:34,94.80905691487796,10.548,87.2,1610
Morning Run,2023-12-28,10.224200000000002,10.22 km,54.46666666666667,05:19,319.6338099802429,3.129,81.0,3268
Afternoon Run,2023-12-14,4.6922,4.69 km,25.75,05:29,329.26985209496615,3.037,15.7,1545
Evening Run,2023-12-11,10.5907,10.59 km,54.333333333333336,05:07,307.8172358767598,3.249,61.1,3260
Morning Run,2023-12-08,7.1185,7.12 km,35.78333333333333,05:01,301.60848493362363,3.316,50.7,2147
Evening Run,2023-12-04,15.162,15.16 km,81.05,05:20,320.73605065294817,3.118,67.5,4863
Evening Run,2023-12-02,7.0072,7.01 km,33.86666666666667,04:49,289.9874414887544,3.448,12.1,2032
Afternoon Run,2023-11-30,2.4514,2.45 km,11.316666666666666,04:36,276.9845802398629,3.61,2.1,679
Evening Run,2023-11-22,3.0274,3.03 km,15.383333333333333,05:04,304.8820770297945,3.28,6.4,923
Evening Run,2023-11-13,6.5506,6.55 km,32.6,04:58,298.59860165481024,3.349,11.1,1956
Afternoon Run,2023-11-10,10.183,10.18 km,51.38333333333333,05:02,302.7595011293332,3.303,36.8,3083
Afternoon Run,2023-10-29,5.0092,5.01 km,23.4,04:40,280.28427693044796,3.568,5.3,1404
Evening Run,2023-10-20,6.5328,6.53 km,34.7,05:18,318.6994856722998,3.138,51.0,2082
Morning Run,2023-10-12,5.0565,5.06 km,22.633333333333333,04:28,268.56521309205976,3.723,6.9,1358
Afternoon Run,2023-10-07,10.0121,10.01 km,52.233333333333334,05:13,313.02124429440374,3.195,32.2,3134
